FIPS,trump_vs_senate,trump_vs_house
2020,,
2021,,
2022,,
2023,,
2024,,
2025,,
2026,,
2027,,
2028,,
2029,,
2030,,
2031,,
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
2039,,
2040,,
2099,,
4001,1.481333538,0.923186276
4003,1.266609432,1.533317802
4005,0.278211624,0.401815549
4007,2.302384071,-8.629162912
4009,3.139759125,3.111990673
4011,5.974348886,5.572455313
4012,3.651381572,-1.052443805
4013,0.849255942,10.49104126
4015,2.641187073,-0.547069401
4017,1.697722241,2.05707316
4019,0.292930667,9.982246534
4021,1.961852499,-5.795887438
4023,2.696690715,2.220973468
4025,1.353220005,-3.0635489
4027,2.249008905,-15.24184002
5001,,
5003,,-0.508875086
5005,,
5007,,-3.572442033
5009,,-2.269896331
5011,,-2.290580801
5013,,-0.921823971
5015,,-1.72738286
5017,,
5019,,-3.962188991
5021,,
5023,,
5025,,-1.791516511
5027,,-1.246449675
5029,,1.09080973
5031,,
5033,,-0.311771745
5035,,
5037,,
5039,,-1.480854228
5041,,
5043,,-2.497456052
5045,,0.26112524
5047,,-1.563413209
5049,,
5051,,-4.844378141
5053,,-1.60794577
5055,,
5057,,-0.723631386
5059,,-1.877872319
5061,,-1.284333021
5063,,
5065,,
5067,,
5069,,-2.889537659
5071,,-1.553310816
5073,,0.179879977
5075,,
5077,,
5079,,
5081,,-0.162193881
5083,,-1.646321909
5085,,
5087,,0.007174167
5089,,-2.587375529
5091,,-0.54955808
5093,,
5095,,
5097,,-2.343846308
5099,,-0.628661649
5101,,-5.046335347
5103,,-1.06134535
5105,,0.652393642
5107,,
5109,,-1.48545504
5111,,
5113,,-1.621383905
5115,,-2.501213268
5117,,
5119,,-1.692404511
5121,,
5123,,
5125,,-0.296061323
5127,,-1.420937466
5129,,-4.453238866
5131,,-0.592545233
5133,,-2.022870909
5135,,
5137,,
5139,,-1.986128389
5141,,0.76910931
5143,,-3.604882297
5145,,0.407674857
5147,,
5149,,-0.962019261
6001,,-10.80682981
6003,,-1.876776224
6005,,-0.169081197
6007,,0.23666987
6009,,2.343853426
6011,,2.079351562
6013,,-5.001136857
6015,,3.529946347
6017,,-0.780475591
6019,,-6.944529056
6021,,-15.58332097
6023,,1.573839738
6025,,1.386119763
6027,,-0.872149056
6029,,-8.273659031
6031,,-5.448691979
6033,,4.205574575
6035,,1.355347736
6037,,
6039,,0.549890799
